gene,phase
AT5G37580,Enriched_G2M
AT5G37010,Enriched_G2M
AT5G35560,Enriched_G2M
AT5G24620,Enriched_G2M
AT5G24610,Enriched_G2M
AT5G24310,Enriched_G2M
AT5G23910,Enriched_G2M
AT5G23840,Enriched_G2M
AT5G23820,Enriched_G2M
AT5G23690,Enriched_G2M
AT5G23380,Enriched_G2M
AT5G23310,Enriched_G2M
AT5G23330,Enriched_G2M
AT5G23400,Enriched_G2M
AT5G22840,Enriched_G2M
AT5G23070,Enriched_G2M
AT5G22320,Enriched_G2M
AT5G19120,Enriched_G2M
AT5G22340,Enriched_G2M
AT5G22290,Enriched_G2M
AT5G18310,Enriched_G2M
AT5G18150,Enriched_G2M
AT5G18200,Enriched_G2M
AT5G18170,Enriched_G2M
AT5G17710,Enriched_G2M
AT5G17270,Enriched_G2M
AT5G17230,Enriched_G2M
AT5G16570,Enriched_G2M
AT5G16290,Enriched_G2M
AT5G16560,Enriched_G2M
AT5G14640,Enriched_G2M
AT5G14660,Enriched_G2M
AT5G14600,Enriched_G2M
AT5G15170,Enriched_G2M
AT5G14420,Enriched_G2M
AT5G14000,Enriched_G2M
AT5G13830,Enriched_G2M
AT5G13840,Enriched_G2M
AT5G13470,Enriched_G2M
AT5G13330,Enriched_G2M
AT5G13280,Enriched_G2M
AT5G12220,Enriched_G2M
AT5G12080,Enriched_G2M
AT5G11780,Enriched_G2M
AT5G11790,Enriched_G2M
AT5G11950,Enriched_G2M
AT5G11300,Enriched_G2M
AT5G11450,Enriched_G2M
AT5G11460,Enriched_G2M
AT5G11510,Enriched_G2M
AT5G10930,Enriched_G2M
AT5G11010,Enriched_G2M
AT5G11240,Enriched_G2M
AT5G10240,Enriched_G2M
AT5G09790,Enriched_G2M
AT5G09840,Enriched_G2M
AT5G09570,Enriched_G2M
AT5G08600,Enriched_G2M
AT5G08610,Enriched_G2M
AT5G08650,Enriched_G2M
AT5G08620,Enriched_G2M
AT5G07950,Enriched_G2M
AT5G07810,Enriched_G2M
AT5G07360,Enriched_G2M
AT5G07040,Enriched_G2M
AT5G06860,Enriched_G2M
AT5G06800,Enriched_G2M
